Algorithme;Coupe min;Nombre de contractions
karger;142;36
karger_improved;12;260
karger_recursive;10;46
karger;0;4
karger_improved;0;5
karger_recursive;0;4
karger;23;20
karger_improved;1;85
karger_recursive;1;24
karger;1;17
karger_improved;1;74
karger_recursive;2;19
karger;32;33
karger_improved;18;191
karger_recursive;129;43
karger;144;37
karger_improved;18;324
karger_recursive;19;47
karger;85;19
karger_improved;20;77
karger_recursive;86;23
karger;15;6
karger_improved;12;11
karger_recursive;15;6
karger;0;5
karger_improved;0;5
karger_recursive;0;5
karger;28;28
karger_improved;28;163
karger_recursive;135;36
karger;125;21
karger_improved;21;89
karger_recursive;58;25
karger;1;4
karger_improved;4;6
karger_recursive;1;4
karger;0;37
karger_improved;0;262
karger_recursive;0;47
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;23;24
karger_improved;3;124
karger_recursive;9;30
karger;1;0
karger_improved;1;0
karger_recursive;1;0
karger;104;22
karger_improved;19;90
karger_recursive;67;26
karger;174;30
karger_improved;24;180
karger_recursive;51;38
karger;0;5
karger_improved;0;7
karger_recursive;0;5
karger;102;28
karger_improved;12;163
karger_recursive;65;36
karger;0;34
karger_improved;0;255
karger_recursive;0;44
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;320;36
karger_improved;34;260
karger_recursive;31;46
karger;35;25
karger_improved;3;156
karger_recursive;10;31
karger;0;1
karger_improved;0;1
karger_recursive;0;1
karger;5;5
karger_improved;9;7
karger_recursive;5;5
karger;108;33
karger_improved;12;191
karger_recursive;25;43
karger;102;29
karger_improved;43;164
karger_recursive;136;37
karger;233;30
karger_improved;27;180
karger_recursive;141;38
karger;69;25
karger_improved;16;156
karger_recursive;35;31
karger;55;19
karger_improved;9;77
karger_recursive;11;23
karger;4;3
karger_improved;4;4
karger_recursive;4;3
karger;5;5
karger_improved;8;7
karger_recursive;9;5
karger;27;32
karger_improved;24;190
karger_recursive;161;40
karger;0;12
karger_improved;0;17
karger_recursive;0;12
karger;86;19
karger_improved;19;77
karger_recursive;20;23
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;99;25
karger_improved;10;156
karger_recursive;47;31
karger;0;8
karger_improved;0;14
karger_recursive;0;8
karger;21;9
karger_improved;21;18
karger_recursive;26;9
karger;7;16
karger_improved;4;58
karger_recursive;13;18
karger;1;0
karger_improved;1;0
karger_recursive;1;0
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;0;9
karger_improved;0;9
karger_recursive;0;9
karger;58;31
karger_improved;16;188
karger_recursive;15;39
karger;2;3
karger_improved;4;4
karger_recursive;4;3
karger;72;25
karger_improved;6;156
karger_recursive;33;31
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;174;38
karger_improved;18;326
karger_recursive;34;50
karger;5;5
karger_improved;9;7
karger_recursive;9;5
karger;47;23
karger_improved;9;122
karger_recursive;15;29
karger;5;37
karger_improved;2;324
karger_recursive;8;47
karger;31;24
karger_improved;2;124
karger_recursive;10;30
karger;12;8
karger_improved;8;17
karger_recursive;17;8
karger;37;22
karger_improved;9;90
karger_recursive;50;26
karger;243;35
karger_improved;22;259
karger_recursive;153;45
karger;0;2
karger_improved;0;2
karger_recursive;0;2
karger;84;21
karger_improved;17;89
karger_recursive;96;25
karger;106;38
karger_improved;13;326
karger_recursive;31;50
karger;20;27
karger_improved;15;161
karger_recursive;13;33
karger;1;1
karger_improved;1;1
karger_recursive;1;1
karger;0;2
karger_improved;0;2
karger_recursive;0;2
karger;0;11
karger_improved;0;34
karger_recursive;0;11
karger;197;29
karger_improved;23;164
karger_recursive;94;37
karger;134;27
karger_improved;15;161
karger_recursive;79;33
karger;114;34
karger_improved;10;255
karger_recursive;68;44
karger;0;12
karger_improved;0;31
karger_recursive;0;12
karger;19;10
karger_improved;15;26
karger_recursive;23;10
karger;36;18
karger_improved;9;76
karger_recursive;12;22
karger;21;22
karger_improved;2;90
karger_recursive;5;26
karger;68;26
karger_improved;14;157
karger_recursive;17;32
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;28;17
karger_improved;13;74
karger_recursive;27;19
karger;116;38
karger_improved;10;326
karger_recursive;18;50
karger;0;2
karger_improved;0;2
karger_recursive;0;2
karger;195;30
karger_improved;27;180
karger_recursive;148;38
karger;3;3
karger_improved;4;4
karger_recursive;3;3
karger;0;19
karger_improved;0;77
karger_recursive;0;23
karger;6;22
karger_improved;2;90
karger_recursive;2;26
karger;68;22
karger_improved;15;90
karger_recursive;12;26
karger;0;3
karger_improved;0;4
karger_recursive;0;3
karger;23;12
karger_improved;5;35
karger_recursive;15;12
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;108;26
karger_improved;13;157
karger_recursive;54;32
karger;36;26
karger_improved;1;157
karger_recursive;1;32
karger;0;13
karger_improved;0;24
karger_recursive;0;13
karger;1;7
karger_improved;1;15
karger_recursive;1;7
karger;0;2
karger_improved;0;2
karger_recursive;0;2
karger;0;14
karger_improved;0;41
karger_recursive;0;16
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;0;15
karger_improved;0;21
karger_recursive;0;15
karger;68;22
karger_improved;5;90
karger_recursive;13;26
karger;0;22
karger_improved;0;39
karger_recursive;0;22
karger;1;7
karger_improved;1;15
karger_recursive;6;7
karger;2;8
karger_improved;2;17
karger_recursive;3;8
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;27;36
karger_improved;24;260
karger_recursive;158;46
karger;57;26
karger_improved;17;157
karger_recursive;137;32
karger;62;28
karger_improved;21;163
karger_recursive;117;36
karger;0;5
karger_improved;0;6
karger_recursive;0;5
karger;0;7
karger_improved;0;10
karger_recursive;0;7
karger;4;27
karger_improved;3;161
karger_recursive;3;33
karger;0;4
karger_improved;0;6
karger_recursive;0;4
karger;1;3
karger_improved;1;4
karger_recursive;4;3
karger;0;2
karger_improved;0;2
karger_recursive;0;2
karger;52;32
karger_improved;7;190
karger_recursive;10;40
karger;2;5
karger_improved;3;7
karger_recursive;3;5
karger;7;29
karger_improved;2;164
karger_recursive;14;37
karger;11;32
karger_improved;11;190
karger_recursive;40;40
karger;85;37
karger_improved;5;324
karger_recursive;38;47
karger;70;18
karger_improved;9;76
karger_recursive;65;22
karger;0;15
karger_improved;0;57
karger_recursive;0;17
karger;27;10
karger_improved;8;26
karger_recursive;28;10
karger;93;38
karger_improved;32;326
karger_recursive;166;50
karger;5;8
karger_improved;6;17
karger_recursive;11;8
karger;178;30
karger_improved;18;180
karger_recursive;95;38
karger;37;21
karger_improved;14;89
karger_recursive;97;25
karger;6;9
karger_improved;3;18
karger_recursive;4;9
karger;9;12
karger_improved;3;35
karger_recursive;1;12
karger;48;13
karger_improved;24;39
karger_recursive;12;15
karger;0;24
karger_improved;0;47
karger_recursive;0;24
karger;156;34
karger_improved;25;255
karger_recursive;143;44
karger;1;1
karger_improved;1;1
karger_recursive;1;1
karger;0;8
karger_improved;0;14
karger_recursive;0;8
karger;15;8
karger_improved;8;17
karger_recursive;23;8
karger;61;18
karger_improved;14;76
karger_recursive;44;22
karger;14;10
karger_improved;7;26
karger_recursive;12;10
karger;1;0
karger_improved;1;0
karger_recursive;1;0
karger;136;37
karger_improved;24;324
karger_recursive;128;47
karger;11;18
karger_improved;23;76
karger_recursive;20;22
karger;0;0
karger_improved;0;0
karger_recursive;0;0
karger;3;7
karger_improved;2;15
karger_recursive;5;7
karger;24;23
karger_improved;24;122
karger_recursive;46;29
karger;1;8
karger_improved;5;17
karger_recursive;10;8
karger;11;18
karger_improved;8;76
karger_recursive;8;22
karger;2;8
