a;Coupe min;Nombre de contractions;Rapport
1,2;2;2197;0,000910332
1,3;2;361;0,005540166
1,4;2;220;0,009090909
1,5;2;126;0,015873016
1,6;3;81;0,037037037
1,7;5;66;0,075757576
1,8;5;59;0,084745763
1,9;5;52;0,096153846
2;6;52;0,115384615
2,1;5;45;0,111111111
2,2;5;42;0,119047619
2,3;4;42;0,095238095
2,4;5;39;0,128205128
2,5;4;39;0,102564103
2,6;3;36;0,083333333
2,7;2;36;0,055555556
2,8;10;36;0,277777778
2,9;7;35;0,2
3;2;35;0,057142857
3,1;19;33;0,575757576
3,2;7;32;0,21875
3,3;7;32;0,21875
3,4;3;32;0,09375
3,5;5;32;0,15625
3,6;21;31;0,677419355
3,7;6;31;0,193548387
3,8;5;31;0,161290323
3,9;25;31;0,806451613
4;5;31;0,161290323
4,1;6;30;0,2
4,3;5;30;0,166666667
4,5;6;30;0,2
4,6;5;30;0,166666667
4,8;2;29;0,068965517
5;32;29;1,103448276
1,1;2;255;0,007843137
1,2;2;66;0,03030303
1,3;2;23;0,086956522
1,4;2;23;0,086956522
1,5;4;16;0,25
1,6;2;14;0,142857143
1,7;2;11;0,181818182
1,8;3;11;0,272727273
1,9;2;11;0,181818182
2;2;11;0,181818182
2,1;2;10;0,2
2,2;3;10;0,3
2,3;5;10;0,5
2,4;5;10;0,5
2,5;4;10;0,4
2,6;4;9;0,444444444
2,7;6;9;0,666666667
2,8;4;9;0,444444444
2,9;5;9;0,555555556
3;2;9;0,222222222
3,1;2;9;0,222222222
3,2;5;9;0,555555556
3,3;4;9;0,444444444
3,4;2;8;0,25
3,5;2;8;0,25
3,6;3;8;0,375
3,7;2;8;0,25
3,8;5;8;0,625
3,9;6;8;0,75
4;3;8;0,375
4,1;5;8;0,625
4,3;3;8;0,375
4,5;5;8;0,625
4,6;4;8;0,5
4,8;4;8;0,5
5;4;8;0,5
1,1;12;2062;0,005819593
1,2;12;289;0,041522491
1,3;12;88;0,136363636
1,4;15;57;0,263157895
1,5;25;42;0,595238095
1,6;12;35;0,342857143
1,7;40;29;1,379310345
1,8;34;26;1,307692308
1,9;50;25;2
2;15;25;0,6
2,1;45;23;1,956521739
2,2;48;22;2,181818182
2,3;51;22;2,318181818
2,4;52;20;2,6
2,5;13;19;0,684210526
