Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
115,karger_recursive,73,1,8112
115,karger_improved,73,1,48
115,karger,73,10,24
116,karger_recursive,10,0,576
116,karger_improved,10,0,16
116,karger,10,0,8
117,karger_recursive,46,0,2304
117,karger_improved,46,3,30
117,karger,46,23,15
118,karger_recursive,3,0,36
118,karger_improved,3,0,6
118,karger,3,0,3
119,karger_recursive,55,0,4400
119,karger_improved,55,7,38
119,karger,55,20,19
120,karger_recursive,27,3,400
120,karger_improved,27,9,16
120,karger,27,4,8
121,karger_recursive,19,4,192
121,karger_improved,19,6,12
121,karger,19,10,6
122,karger_recursive,272,15,10192
122,karger_improved,272,21,52
122,karger,272,118,26
123,karger_recursive,17,4,120
123,karger_improved,17,4,10
123,karger,17,7,5
124,karger_recursive,87,0,4400
124,karger_improved,87,20,38
124,karger,87,30,19
125,karger_recursive,4,0,1352
125,karger_improved,4,0,8
125,karger,4,0,4
126,karger_recursive,80,0,2304
126,karger_improved,80,10,30
126,karger,80,5,15
127,karger_recursive,5,0,72
127,karger_improved,5,0,8
127,karger,5,0,4
128,karger_recursive,133,0,2304
128,karger_improved,133,28,30
128,karger,133,70,15
129,karger_recursive,13,0,90
129,karger_improved,13,7,8
129,karger,13,4,4
130,karger_recursive,1,1,0
130,karger_improved,1,1,0
130,karger,1,1,0
131,karger_recursive,235,0,6624
131,karger_improved,235,112,44
131,karger,235,90,22
132,karger_recursive,244,16,8112
132,karger_improved,244,64,48
132,karger,244,121,24
133,karger_recursive,1,0,4
133,karger_improved,1,0,2
133,karger,1,0,1
134,karger_recursive,0,0,0
134,karger_improved,0,0,0
134,karger,0,0,0
135,karger_recursive,10,0,3920
135,karger_improved,10,0,20
135,karger,10,0,10
136,karger_recursive,8,0,896
136,karger_improved,8,0,16
136,karger,8,0,8
137,karger_recursive,55,0,600
137,karger_improved,55,18,18
137,karger,55,28,9
138,karger_recursive,154,0,5082
138,karger_improved,154,27,40
138,karger,154,28,20
139,karger_recursive,2,0,48
139,karger_improved,2,0,4
139,karger,2,0,2
140,karger_recursive,210,11,10192
140,karger_improved,210,15,52
140,karger,210,43,26
141,karger_recursive,224,12,9100
141,karger_improved,224,58,50
141,karger,224,47,25
142,karger_recursive,0,-1,0
142,karger_improved,0,0,0
142,karger,0,0,0
143,karger_recursive,138,0,2754
143,karger_improved,138,54,32
143,karger,138,30,16
144,karger_recursive,7,0,90
144,karger_improved,7,2,8
144,karger,7,1,4
145,karger_recursive,108,0,2304
145,karger_improved,108,40,30
145,karger,108,46,15
146,karger_recursive,83,0,1568
146,karger_improved,83,44,26
146,karger,83,8,13
147,karger_recursive,52,1,8112
147,karger_improved,52,3,48
147,karger,52,16,24
148,karger_recursive,0,0,0
148,karger_improved,0,0,0
148,karger,0,0,0
149,karger_recursive,155,8,7176
149,karger_improved,155,19,46
149,karger,155,28,23
150,karger_recursive,19,0,1176
150,karger_improved,19,0,24
150,karger,19,0,12
151,karger_recursive,367,21,11340
151,karger_improved,367,157,54
151,karger,367,194,27
152,karger_recursive,1,1,0
152,karger_improved,1,1,0
152,karger,1,1,0
153,karger_recursive,4,0,24
153,karger_improved,4,1,4
153,karger,4,2,2
154,karger_recursive,70,0,1008
154,karger_improved,70,19,22
154,karger,70,38,11
155,karger_recursive,84,0,1920
155,karger_improved,84,30,28
155,karger,84,10,14
156,karger_recursive,41,0,2754
156,karger_improved,41,4,32
156,karger,41,7,16
157,karger_recursive,126,0,3240
157,karger_improved,126,49,34
157,karger,126,44,17
158,karger_recursive,91,0,3240
158,karger_improved,91,37,34
158,karger,91,44,17
159,karger_recursive,93,0,2754
159,karger_improved,93,17,32
159,karger,93,9,16
160,karger_recursive,45,0,600
160,karger_improved,45,23,18
160,karger,45,9,9
161,karger_recursive,42,0,4400
161,karger_improved,42,2,38
161,karger,42,3,19
162,karger_recursive,88,0,1568
162,karger_improved,88,43,26
162,karger,88,11,13
163,karger_recursive,18,2,400
163,karger_improved,18,2,16
163,karger,18,8,8
164,karger_recursive,224,0,5082
164,karger_improved,224,40,40
164,karger,224,21,20
