Exemple,Algorithme,Nombre d'arêtes,Coupe min,Nombre de contractions
2,karger_recursive_a1.8_b220,138,0,4180
2,karger_recursive_a1.8_b240,138,0,4560
2,karger_recursive_a1.8_b260,138,0,4940
2,karger_recursive_a1.8_b280,138,0,5320
2,karger_recursive_a1.8_b300,138,0,5700
2,karger_recursive_a1.8_b320,138,0,6080
2,karger_recursive_a1.8_b340,138,0,6460
2,karger_recursive_a1.8_b360,138,0,6840
2,karger_recursive_a1.8_b380,138,0,7220
2,karger_recursive_a1.8_b400,138,0,7600
2,karger_recursive_a1.9_b20,138,12,360
2,karger_recursive_a1.9_b40,138,14,720
2,karger_recursive_a1.9_b60,138,9,1080
2,karger_recursive_a1.9_b80,138,12,1440
2,karger_recursive_a1.9_b100,138,12,1800
2,karger_recursive_a1.9_b120,138,9,2160
2,karger_recursive_a1.9_b140,138,9,2520
2,karger_recursive_a1.9_b160,138,9,2880
2,karger_recursive_a1.9_b180,138,9,3240
2,karger_recursive_a1.9_b200,138,9,3600
2,karger_recursive_a1.9_b220,138,9,3960
2,karger_recursive_a1.9_b240,138,9,4320
2,karger_recursive_a1.9_b260,138,9,4680
2,karger_recursive_a1.9_b280,138,9,5040
2,karger_recursive_a1.9_b300,138,9,5400
2,karger_recursive_a1.9_b320,138,9,5760
2,karger_recursive_a1.9_b340,138,9,6120
2,karger_recursive_a1.9_b360,138,9,6480
2,karger_recursive_a1.9_b380,138,9,6840
2,karger_recursive_a1.9_b400,138,9,7200
2,karger_recursive_a2.0_b20,138,12,360
2,karger_recursive_a2.0_b40,138,9,720
2,karger_recursive_a2.0_b60,138,9,1080
2,karger_recursive_a2.0_b80,138,12,1440
2,karger_recursive_a2.0_b100,138,9,1800
2,karger_recursive_a2.0_b120,138,9,2160
2,karger_recursive_a2.0_b140,138,9,2520
2,karger_recursive_a2.0_b160,138,12,2880
2,karger_recursive_a2.0_b180,138,9,3240
2,karger_recursive_a2.0_b200,138,9,3600
2,karger_recursive_a2.0_b220,138,9,3960
2,karger_recursive_a2.0_b240,138,9,4320
2,karger_recursive_a2.0_b260,138,9,4680
2,karger_recursive_a2.0_b280,138,9,5040
2,karger_recursive_a2.0_b300,138,9,5400
2,karger_recursive_a2.0_b320,138,9,5760
2,karger_recursive_a2.0_b340,138,9,6120
2,karger_recursive_a2.0_b360,138,9,6480
2,karger_recursive_a2.0_b380,138,9,6840
2,karger_recursive_a2.0_b400,138,9,7200
3,karger_recursive_a1.1_b4,1,0,4
3,karger_recursive_a1.1_b8,1,0,8
3,karger_recursive_a1.1_b12,1,0,12
3,karger_recursive_a1.1_b16,1,0,16
3,karger_recursive_a1.2_b4,1,0,4
3,karger_recursive_a1.2_b8,1,0,8
3,karger_recursive_a1.2_b12,1,0,12
3,karger_recursive_a1.2_b16,1,0,16
3,karger_recursive_a1.3_b4,1,0,4
3,karger_recursive_a1.3_b8,1,0,8
3,karger_recursive_a1.3_b12,1,0,12
3,karger_recursive_a1.3_b16,1,0,16
3,karger_recursive_a1.4_b4,1,0,4
3,karger_recursive_a1.4_b8,1,0,8
3,karger_recursive_a1.4_b12,1,0,12
3,karger_recursive_a1.4_b16,1,0,16
3,karger_recursive_a1.5_b4,1,0,4
3,karger_recursive_a1.5_b8,1,0,8
3,karger_recursive_a1.5_b12,1,0,12
3,karger_recursive_a1.5_b16,1,0,16
3,karger_recursive_a1.6_b4,1,0,4
3,karger_recursive_a1.6_b8,1,0,8
3,karger_recursive_a1.6_b12,1,0,12
3,karger_recursive_a1.6_b16,1,0,16
3,karger_recursive_a1.7_b4,1,0,4
3,karger_recursive_a1.7_b8,1,0,8
3,karger_recursive_a1.7_b12,1,0,12
3,karger_recursive_a1.7_b16,1,0,16
3,karger_recursive_a1.8_b4,1,0,4
3,karger_recursive_a1.8_b8,1,0,8
3,karger_recursive_a1.8_b12,1,0,12
3,karger_recursive_a1.8_b16,1,0,16
3,karger_recursive_a1.9_b4,1,0,4
3,karger_recursive_a1.9_b8,1,0,8
3,karger_recursive_a1.9_b12,1,0,12
3,karger_recursive_a1.9_b16,1,0,16
3,karger_recursive_a2.0_b4,1,0,4
3,karger_recursive_a2.0_b8,1,0,8
3,karger_recursive_a2.0_b12,1,0,12
3,karger_recursive_a2.0_b16,1,0,16
4,karger_recursive_a1.1_b8,14,2,48
4,karger_recursive_a1.1_b16,14,2,96
4,karger_recursive_a1.1_b24,14,2,144
4,karger_recursive_a1.1_b32,14,2,192
4,karger_recursive_a1.1_b40,14,2,240
4,karger_recursive_a1.1_b48,14,2,288
4,karger_recursive_a1.1_b56,14,2,336
4,karger_recursive_a1.1_b64,14,2,384
4,karger_recursive_a1.2_b8,14,3,48
4,karger_recursive_a1.2_b16,14,2,96
4,karger_recursive_a1.2_b24,14,2,144
4,karger_recursive_a1.2_b32,14,2,192
4,karger_recursive_a1.2_b40,14,2,240
4,karger_recursive_a1.2_b48,14,2,288
4,karger_recursive_a1.2_b56,14,2,336
4,karger_recursive_a1.2_b64,14,2,384
4,karger_recursive_a1.3_b8,14,5,48
4,karger_recursive_a1.3_b16,14,2,96
4,karger_recursive_a1.3_b24,14,2,144
4,karger_recursive_a1.3_b32,14,2,192
4,karger_recursive_a1.3_b40,14,2,240
4,karger_recursive_a1.3_b48,14,2,288
4,karger_recursive_a1.3_b56,14,2,336
4,karger_recursive_a1.3_b64,14,2,384
4,karger_recursive_a1.4_b8,14,3,48
4,karger_recursive_a1.4_b16,14,3,96
4,karger_recursive_a1.4_b24,14,2,144
4,karger_recursive_a1.4_b32,14,2,192
4,karger_recursive_a1.4_b40,14,2,240
4,karger_recursive_a1.4_b48,14,2,288
4,karger_recursive_a1.4_b56,14,2,336
4,karger_recursive_a1.4_b64,14,2,384
4,karger_recursive_a1.5_b8,14,2,48
4,karger_recursive_a1.5_b16,14,3,96
4,karger_recursive_a1.5_b24,14,2,144
4,karger_recursive_a1.5_b32,14,2,192
4,karger_recursive_a1.5_b40,14,2,240
4,karger_recursive_a1.5_b48,14,2,288
4,karger_recursive_a1.5_b56,14,2,336
